cam_time,cam_pulseWaveform_forehead,cam_bpm_forehead,cam_pulseWaveform_mouth,cam_bpm_mouth
0.63768,189671.5,0.0,218272.0,0.0
0.69368,200876.0,0.0,207985.5,0.0
0.741679,197590.0,0.0,207793.0,0.0
0.784679,187113.0,0.0,221325.5,0.0
0.83368,200604.0,0.0,185124.0,0.0
0.88068,204790.5,0.0,183950.0,0.0
0.927679,200281.0,0.0,203969.0,0.0
0.97268,201433.0,0.0,221345.5,0.0
1.020679,201303.0,0.0,217937.0,0.0
1.06868,194335.0,0.0,210847.0,0.0
1.111679,186260.0,0.0,217838.0,0.0
1.15968,183070.0,0.0,207293.5,0.0
1.207679,194153.0,0.0,244686.0,0.0
1.252758,194241.0,0.0,232573.0,0.0
1.305757,194210.0,0.0,207386.0,0.0
1.346758,187373.0,0.0,193803.5,0.0
1.397759,194275.0,0.0,208025.0,0.0
1.443757,187441.0,0.0,193873.5,0.0
1.488758,173525.0,0.0,185007.0,0.0
1.535758,180539.0,0.0,194979.5,0.0
1.583757,201193.0,0.0,218649.0,100.0
1.635758,201263.0,0.0,233290.0,100.0
1.681758,187608.0,0.0,212684.0,100.0
1.725758,198164.5,0.0,212698.0,100.0
1.769758,201558.0,0.0,198439.0,100.0
1.817758,183745.5,0.0,224483.0,100.0
1.864758,166138.0,0.0,187266.0,100.0
1.914758,163219.0,0.0,171699.5,100.0
1.959758,167142.0,0.0,142332.5,100.0
2.005758,210838.5,0.0,238370.0,100.0
2.051758,202169.0,0.0,242498.0,90.0
2.099758,202231.0,0.0,258917.0,100.0
2.150758,232119.0,0.0,296373.0,100.0
2.243758,232119.0,0.0,313602.0,100.0
2.296758,238037.5,0.0,332847.0,100.0
2.383648,225461.0,0.0,314027.0,112.49999999999999
2.433648,232192.0,0.0,314166.0,112.49999999999999
2.525666,238058.5,0.0,327358.0,112.49999999999999
2.571666,185227.5,0.0,302316.5,100.0
2.620667,164408.0,0.0,270131.0,100.0
2.713666,213456.5,0.0,301404.5,0.0
2.761667,205431.0,0.0,316255.0,0.0
2.807669,200603.0,0.0,315874.0,0.0
2.897666,226576.0,0.0,345462.5,0.0
2.947667,226809.0,0.0,369244.0,0.0
2.995666,199705.0,0.0,319048.0,0.0
3.087667,185825.0,0.0,304614.0,0.0
3.134666,197495.0,100.0,318589.0,0.0
3.182668,207918.5,100.0,307602.0,0.0
3.274658,204476.0,100.0,277723.0,100.0
3.330224,169143.0,0.0,248349.0,0.0
3.416733,183500.0,0.0,266542.5,0.0
3.465733,211608.0,0.0,306788.0,0.0
3.513734,214897.5,0.0,333462.5,0.0
3.602733,204608.0,0.0,295376.0,63.1578947368421
3.651733,200001.5,0.0,305720.5,63.1578947368421
3.741733,197704.0,0.0,293409.0,63.1578947368421
3.78975,201099.5,0.0,289895.0,63.1578947368421
